Player,Team,Salary
Stephen Sullivan,NA,"$168,000 "
A.T. Perry,NA,"$162,500 "
Jared Wayne,NA,"$162,500 "
John Jiles,NA,"$162,500 "
Seth Williams,NA,"$162,500 "
Tanner Knue,NA,"$162,500 "
Russell Gage,NA,"$151,200 "
Dennis Houston,NA,"$137,500 "
Tarik Black,NA,"$137,500 "
Trishton Jackson,NA,"$137,500 "
Jamal Agnew,NA,"$134,400 "
Braylon Sanders,NA,"$125,000 "
Diontae Johnson,NA,"$125,000 "
Stanley Morgan,NA,"$100,800 "
Alex Bachman,NA,"$87,500 "
Jermaine Jackson,NA,"$87,500 "
Tyquan Thornton,NA,"$87,500 "
Parris Campbell,NA,"$84,000 "
Cornell Powell,NA,"$75,000 "
NA,NA,NA
Easop Winston,NA,"$75,000 "
Kyle Philips,NA,"$75,000 "
Scotty Washington,NA,"$75,000 "
Trenton Irwin,NA,"$67,200 "
Alex Erickson,NA,"$63,900 "
Isaiah McKenzie,NA,"$63,900 "
Shedrick Jackson,NA,"$62,500 "
T.J. Luther,NA,"$62,500 "
Dax Milne,NA,"$50,400 "
Dez Fitzpatrick,NA,"$50,000 "
Jaelen Gill,NA,"$50,000 "
Chris Moore,NA,"$42,600 "
Jalen Virgil,NA,"$37,500 "
Maurice Alexander,NA,"$25,000 "
Jaxon Janke,NA,"$12,500 "
Tom Kennedy,NA,"$12,500 "
